,kr_price,us_price,exchange_rate,import_vol,stock,import_vol_mom,import_vol_yoy,stock_mom,stock_yoy,stock_ma_3,margin_spread,us_price_lag_1,exchange_rate_lag_1,us_price_lag_2,exchange_rate_lag_2,us_price_lag_3,exchange_rate_lag_3,kr_price_lead_1,kr_price_lead_2,kr_price_lead_3,kr_price_lead_4,kr_price_lead_5,kr_price_lead_6,kr_price_max_6m,target_max_diff_6m
2021-03-01,2452.0,14.859708530805687,1131.4545454545455,9031.0,51427.0,0.3407066508313539,0.028822055137844638,0.0457318313066819,-0.06584683571895666,49749.333333333336,-14361.08476130978,14.295204705882353,1112.6944444444443,12.818906818181818,1100.05,14.659693406593405,1095.1136363636363,2446.0,2452.0,2493.0,2562.0,2577.0,2609.0,2609.0,157.0
2021-04-01,2446.0,17.392964676616916,1118.75,9178.0,53825.0,0.01627726719078737,-0.24198876775685496,0.04662920255896719,-0.10042785038606816,51476.666666666664,-17012.379231965177,14.859708530805687,1131.4545454545455,14.295204705882353,1112.6944444444443,12.818906818181818,1100.05,2452.0,2493.0,2562.0,2577.0,2609.0,2682.0,2682.0,236.0
2021-05-01,2452.0,19.345603783783783,1123.6052631578948,8480.0,54433.0,-0.07605142732621484,-0.2741590344945648,0.011295866233163032,-0.10511779308530755,53228.333333333336,-19284.822230426744,17.392964676616916,1118.75,14.859708530805687,1131.4545454545455,14.295204705882353,1112.6944444444443,2493.0,2562.0,2577.0,2609.0,2682.0,2795.0,2795.0,343.0
2021-06-01,2493.0,17.551132857142857,1123.081818181818,8978.0,55097.0,0.058726415094339623,-0.11214398734177211,0.012198482538166244,-0.05098437742218853,54451.666666666664,-17218.35820035065,19.345603783783783,1123.6052631578948,17.392964676616916,1118.75,14.859708530805687,1131.4545454545455,2562.0,2577.0,2609.0,2682.0,2795.0,2934.0,2934.0,441.0
2021-07-01,2562.0,15.160424137931034,1146.090909090909,9639.0,57113.0,0.0736244152372465,0.02717391304347827,0.03659001397535255,-0.015021385209713078,55547.666666666664,-14813.224282445139,17.551132857142857,1123.081818181818,19.345603783783783,1123.6052631578948,17.392964676616916,1118.75,2577.0,2609.0,2682.0,2795.0,2934.0,4094.0,4094.0,1532.0
2021-08-01,2577.0,20.606561499999998,1161.6666666666667,9181.0,58936.0,-0.047515302417263205,-0.08864403414730992,0.03191917777038511,0.008004378463432937,57048.666666666664,-21360.955609166667,15.160424137931034,1146.090909090909,17.551132857142857,1123.081818181818,19.345603783783783,1123.6052631578948,2609.0,2682.0,2795.0,2934.0,4094.0,4098.0,4098.0,1521.0
2021-09-01,2609.0,22.020701562499998,1171.8157894736842,8410.0,59449.0,-0.08397778019823554,-0.22115206519725872,0.008704357268901841,-0.0035367080120684014,58499.333333333336,-23195.205786225324,20.606561499999998,1161.6666666666667,15.160424137931034,1146.090909090909,17.551132857142857,1123.081818181818,2682.0,2795.0,2934.0,4094.0,4098.0,4165.0,4165.0,1556.0
2021-10-01,2682.0,19.041558585858585,1182.4736842105262,11263.0,62445.0,0.3392390011890607,0.2739509105304829,0.05039613786607,0.09137144554939969,60276.666666666664,-19834.141934130777,22.020701562499998,1171.8157894736842,20.606561499999998,1161.6666666666667,15.160424137931034,1146.090909090909,2795.0,2934.0,4094.0,4098.0,4165.0,4282.0,4282.0,1600.0
2021-11-01,2795.0,18.602169897959183,1184.4318181818182,8693.0,64482.0,-0.22818076888928351,-0.025229872168647693,0.03262070622147495,0.1352664659589078,62125.333333333336,-19238.001914366883,19.041558585858585,1182.4736842105262,22.020701562499998,1171.8157894736842,20.606561499999998,1161.6666666666667,2934.0,4094.0,4098.0,4165.0,4282.0,4404.0,4404.0,1609.0
2021-12-01,2934.0,16.550015656565655,1185.0434782608695,8622.0,67729.0,-0.008167491084780876,-0.12110091743119267,0.05035513786793211,0.15326590382781635,64885.333333333336,-16678.488118928413,18.602169897959183,1184.4318181818182,19.041558585858585,1182.4736842105262,22.020701562499998,1171.8157894736842,4094.0,4098.0,4165.0,4282.0,4404.0,4379.0,4404.0,1470.0
2022-01-01,4094.0,15.993822164948455,1196.075,7872.0,66217.0,-0.08698677800974253,0.048621286798987695,-0.022324262871148304,0.36128528256892056,66142.66666666667,-15035.810845940723,16.550015656565655,1185.0434782608695,18.602169897959183,1184.4318181818182,19.041558585858585,1182.4736842105262,4098.0,4165.0,4282.0,4404.0,4379.0,4277.0,4404.0,310.0
2022-02-01,4098.0,15.66841461988304,1198.4444444444443,9268.0,71129.0,0.17733739837398366,0.37589073634204273,0.07418034643671567,0.4463581276180406,68358.33333333333,-14679.724454450938,15.993822164948455,1196.075,16.550015656565655,1185.0434782608695,18.602169897959183,1184.4318181818182,4165.0,4282.0,4404.0,4379.0,4277.0,4284.0,4404.0,306.0
2022-03-01,4165.0,15.003203398058252,1222.7857142857142,9650.0,75808.0,0.04121709106603366,0.0685416897353559,0.06578188924348716,0.4740894860676299,71051.33333333333,-14180.702783668516,15.66841461988304,1198.4444444444443,15.993822164948455,1196.075,16.550015656565655,1185.0434782608695,4282.0,4404.0,4379.0,4277.0,4284.0,4271.0,4404.0,239.0
2022-04-01,4282.0,15.627779329608938,1236.5238095238096,9761.0,80757.0,0.011502590673575064,0.06352146437132267,0.06528334740396802,0.500362285183465,75898.0,-15042.12123104549,15.003203398058252,1222.7857142857142,15.66841461988304,1198.4444444444443,15.993822164948455,1196.075,4404.0,4379.0,4277.0,4284.0,4271.0,4340.0,4404.0,122.0
