date,source,grade,sex,market_code,market_name,is_national_total,is_regional_total,price_won_per_kg,head_count
2019-01-30,ekape_auction,3,전체,1201,신흥산업,False,False,11405,208
2019-01-30,ekape_auction,3,전체,1301,삼성식품,False,False,9019,494
2019-01-30,ekape_auction,3,전체,Center,Center,False,False,10384,1593
2019-01-30,ekape_auction,3,전체,City,수도권(권역),False,True,9657,4466
2019-01-30,ekape_auction,3,전체,East,영남권(권역),False,True,10859,3032
2019-01-30,ekape_auction,3,전체,Tot,전국(전체),True,False,10189,9377
2019-01-30,ekape_auction,3,전체,West,호남권(권역),False,True,10941,282
2019-01-30,ekape_auction,A,전체,0202,부경축공,False,False,17885,1289
2019-01-30,ekape_auction,A,전체,0302,협신식품,False,False,19361,735
2019-01-30,ekape_auction,A,전체,0320,도드람,False,False,18349,1438
2019-01-30,ekape_auction,A,전체,0323,농협부천,False,False,18244,1364
2019-01-30,ekape_auction,A,전체,0513,농협음성,False,False,19139,3097
2019-01-30,ekape_auction,A,전체,0613,관성,False,False,17264,163
2019-01-30,ekape_auction,A,전체,0714,익산,False,False,17101,26
2019-01-30,ekape_auction,A,전체,0809,농협나주,False,False,17754,290
2019-01-30,ekape_auction,A,전체,0905,농협고령,False,False,18677,724
2019-01-30,ekape_auction,A,전체,1005,김해축공,False,False,17465,1325
2019-01-30,ekape_auction,A,전체,1101,제주축협,False,False,17159,2
2019-01-30,ekape_auction,A,전체,1201,신흥산업,False,False,16949,94
2019-01-30,ekape_auction,A,전체,1301,삼성식품,False,False,17382,75
2019-01-30,ekape_auction,A,전체,Center,Center,False,False,19053,3260
2019-01-30,ekape_auction,A,전체,City,수도권(권역),False,True,18506,3612
2019-01-30,ekape_auction,A,전체,East,영남권(권역),False,True,17892,3432
2019-01-30,ekape_auction,A,전체,Tot,전국(전체),True,False,18460,10622
2019-01-30,ekape_auction,A,전체,West,호남권(권역),False,True,17701,316
2019-01-30,ekape_auction,B,전체,0202,부경축공,False,False,15948,3661
2019-01-30,ekape_auction,B,전체,0302,협신식품,False,False,15147,3869
2019-01-30,ekape_auction,B,전체,0320,도드람,False,False,17020,3489
2019-01-30,ekape_auction,B,전체,0323,농협부천,False,False,17191,3880
2019-01-30,ekape_auction,B,전체,0513,농협음성,False,False,17937,7030
2019-01-30,ekape_auction,B,전체,0613,관성,False,False,16097,803
2019-01-30,ekape_auction,B,전체,0714,익산,False,False,17116,118
2019-01-30,ekape_auction,B,전체,0809,농협나주,False,False,16656,738
2019-01-30,ekape_auction,B,전체,0905,농협고령,False,False,17434,2614
2019-01-30,ekape_auction,B,전체,1005,김해축공,False,False,17146,3038
2019-01-30,ekape_auction,B,전체,1101,제주축협,False,False,15253,15
2019-01-30,ekape_auction,B,전체,1201,신흥산업,False,False,14370,382
2019-01-30,ekape_auction,B,전체,1301,삼성식품,False,False,12079,621
2019-01-30,ekape_auction,B,전체,Center,Center,False,False,17770,7833
2019-01-30,ekape_auction,B,전체,City,수도권(권역),False,True,16200,11859
2019-01-30,ekape_auction,B,전체,East,영남권(권역),False,True,16677,9695
2019-01-30,ekape_auction,B,전체,Tot,전국(전체),True,False,16778,30258
2019-01-30,ekape_auction,B,전체,West,호남권(권역),False,True,16719,856
2019-01-30,ekape_auction,C,전체,0202,부경축공,False,False,15663,2453
2019-01-30,ekape_auction,C,전체,0302,협신식품,False,False,14087,2048
2019-01-30,ekape_auction,C,전체,0320,도드람,False,False,15949,2424
2019-01-30,ekape_auction,C,전체,0323,농협부천,False,False,15997,3161
2019-01-30,ekape_auction,C,전체,0513,농협음성,False,False,16983,5655
2019-01-30,ekape_auction,C,전체,0613,관성,False,False,13303,556
2019-01-30,ekape_auction,C,전체,0714,익산,False,False,16201,79
2019-01-30,ekape_auction,C,전체,0809,농협나주,False,False,16884,642
2019-01-30,ekape_auction,C,전체,0905,농협고령,False,False,16380,1982
2019-01-30,ekape_auction,C,전체,1005,김해축공,False,False,16426,2759
2019-01-30,ekape_auction,C,전체,1101,제주축협,False,False,10994,3
2019-01-30,ekape_auction,C,전체,1201,신흥산업,False,False,14126,303
2019-01-30,ekape_auction,C,전체,1301,삼성식품,False,False,11786,423
2019-01-30,ekape_auction,C,전체,Center,Center,False,False,16701,6211
2019-01-30,ekape_auction,C,전체,City,수도권(권역),False,True,15274,8056
2019-01-30,ekape_auction,C,전체,East,영남권(권역),False,True,16066,7497
2019-01-30,ekape_auction,C,전체,Tot,전국(전체),True,False,15987,22488
2019-01-30,ekape_auction,C,전체,West,호남권(권역),False,True,16815,721
2019-03-01,ekape_auction,1++,전체,0202,부경축공,False,False,20594,218
2019-03-01,ekape_auction,1++,전체,0302,협신식품,False,False,20899,285
2019-03-01,ekape_auction,1++,전체,0320,도드람,False,False,20881,194
2019-03-01,ekape_auction,1++,전체,0323,농협부천,False,False,20666,427
2019-03-01,ekape_auction,1++,전체,0513,농협음성,False,False,21166,1209
2019-03-01,ekape_auction,1++,전체,0613,관성,False,False,20453,28
2019-03-01,ekape_auction,1++,전체,0714,익산,False,False,17794,2
2019-03-01,ekape_auction,1++,전체,0809,농협나주,False,False,20308,54
2019-03-01,ekape_auction,1++,전체,0905,농협고령,False,False,20421,168
2019-03-01,ekape_auction,1++,전체,1005,김해축공,False,False,22047,216
2019-03-01,ekape_auction,1++,전체,1201,신흥산업,False,False,20241,8
2019-03-01,ekape_auction,1++,전체,1301,삼성식품,False,False,17847,4
2019-03-01,ekape_auction,1++,전체,Center,Center,False,False,21152,1237
2019-03-01,ekape_auction,1++,전체,City,수도권(권역),False,True,20773,910
2019-03-01,ekape_auction,1++,전체,East,영남권(권역),False,True,21024,610
2019-03-01,ekape_auction,1++,전체,Tot,전국(전체),True,False,20985,2813
2019-03-01,ekape_auction,1++,전체,West,호남권(권역),False,True,20230,56
2019-03-01,ekape_auction,D,전체,0202,부경축공,False,False,4889,300
2019-03-01,ekape_auction,D,전체,0302,협신식품,False,False,5848,185
2019-03-01,ekape_auction,D,전체,0320,도드람,False,False,5781,175
2019-03-01,ekape_auction,D,전체,0323,농협부천,False,False,5682,146
2019-03-01,ekape_auction,D,전체,0513,농협음성,False,False,5438,58
2019-03-01,ekape_auction,D,전체,0613,관성,False,False,5584,87
