week_ending,market_year,commodity_code,commodity_name,country_code,country_name,weekly_exports,outstanding_sales,gross_new_sales,current_my_net_sales,current_my_total_commitment,unit
2019-10-10T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,221,1431,545,507,7327,1
2019-10-10T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3800,34876,4308,3697,207365,1
2019-10-17T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,146,1263,21,-22,7305,1
2019-10-17T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4509,34970,5040,4603,211968,1
2019-10-24T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,131,1424,329,292,7597,1
2019-10-24T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4082,35131,4903,4243,216211,1
2019-10-31T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,244,1176,119,-4,7593,1
2019-10-31T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4075,32442,1885,1386,217597,1
2019-11-07T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,388,2219,1455,1431,9024,1
2019-11-07T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4758,32183,5065,4499,222096,1
2019-11-14T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1134,1324,260,239,9263,1
2019-11-14T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,6079,28994,3311,2890,224986,1
2019-11-21T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,433,1247,372,356,9619,1
2019-11-21T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4969,27392,3872,3367,228353,1
2019-11-28T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,197,1021,71,-29,9590,1
2019-11-28T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3735,20979,4082,-2678,225675,1
2019-12-05T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,307,1059,368,345,9935,1
2019-12-05T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4961,20478,5029,4460,230135,1
2019-12-12T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,280,853,92,74,10009,1
2019-12-12T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4557,18454,3179,2533,232668,1
2019-12-19T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,526,418,311,91,10100,1
2019-12-19T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3821,17732,4443,3099,235767,1
2019-12-26T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,183,341,111,106,10206,1
2019-12-26T00:00:00,2019,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3231,14325,936,-176,235591,1
2020-01-02T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,0,516,150,141,516,1
2020-01-02T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,1311,31551,13039,12912,32862,1
2020-01-09T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,249,673,417,406,922,1
2020-01-09T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4211,33407,8318,6067,38929,1
2020-01-16T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,167,656,155,150,1072,1
2020-01-16T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4795,38287,10078,9675,48604,1
2020-01-23T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,96,767,214,207,1279,1
2020-01-23T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4303,38521,5078,4537,53141,1
2020-01-30T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,50,717,46,0,1279,1
2020-01-30T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5757,37520,5220,4756,57897,1
2020-02-06T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,175,756,220,214,1493,1
2020-02-06T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4689,37115,4697,4284,62181,1
2020-02-13T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,22,772,43,38,1531,1
2020-02-13T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4832,35564,3900,3281,65462,1
2020-02-20T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,118,789,155,135,1666,1
