년월,부위,중량
2022-08,앞다리,1706834.64
2022-08,양지,3807642.47
2022-08,우둔,440648.25
2022-08,채끝,24103.81
2022-09,갈비,8068875.07
2022-09,등심,731306.52
2022-09,목심,1710778.78
2022-09,사태,134663.4
2022-09,설도,924710.69
2022-09,안심,0.0
2022-09,앞다리,2183971.64
2022-09,양지,3362042.12
2022-09,우둔,573580.56
2022-09,채끝,3557.49
2022-10,갈비,7244483.31
2022-10,등심,251313.44
2022-10,목심,1976987.72
2022-10,사태,143530.89
2022-10,설도,445013.06
2022-10,안심,2543.2
2022-10,앞다리,1525372.27
2022-10,양지,2929963.88
2022-10,우둔,383933.97
2022-10,채끝,11255.05
2022-11,갈비,8432319.92
2022-11,등심,818423.48
2022-11,목심,1475712.45
2022-11,사태,169953.99
2022-11,설도,470985.79
2022-11,안심,0.0
2022-11,앞다리,1480795.22
2022-11,양지,4040062.11
2022-11,우둔,340664.17
2022-11,채끝,14851.27
2022-12,갈비,8522038.21
2022-12,등심,366327.53
2022-12,목심,1429352.55
2022-12,사태,184065.72
2022-12,설도,257557.82
2022-12,안심,1095.43
2022-12,앞다리,1662001.21
2022-12,양지,4224553.75
2022-12,우둔,386379.9
2022-12,채끝,20787.41
2023-01,갈비,5965007.19
2023-01,등심,362975.37
2023-01,목심,962405.33
2023-01,사태,203716.64
2023-01,설도,120035.17
2023-01,안심,0.0
2023-01,앞다리,1967930.92
2023-01,양지,2746987.48
2023-01,우둔,228441.72
2023-01,채끝,1960.0
2023-02,갈비,7119132.197
2023-02,등심,211711.18
2023-02,목심,1218433.82
2023-02,사태,160487.09
2023-02,설도,261008.82
2023-02,안심,1907.06
2023-02,앞다리,2007213.02
2023-02,양지,3465034.83
2023-02,우둔,196598.06
2023-02,채끝,35411.74
2023-03,갈비,8269355.32
2023-03,등심,554752.83
2023-03,목심,1134885.64
2023-03,사태,255968.88
2023-03,설도,497670.65
2023-03,안심,9717.14
2023-03,앞다리,2755127.02
2023-03,양지,3592475.22
2023-03,우둔,575307.44
2023-03,채끝,94374.81
2023-04,갈비,6909461.61
2023-04,등심,442005.83
2023-04,목심,1178885.245
2023-04,사태,142235.14
2023-04,설도,439379.63
2023-04,안심,2056.17
2023-04,앞다리,2258678.68
2023-04,양지,2996552.43
2023-04,우둔,453980.88
2023-04,채끝,27149.74
2023-05,갈비,7186041.99
2023-05,등심,859115.28
2023-05,목심,1630993.46
2023-05,사태,136315.79
2023-05,설도,561589.31
2023-05,안심,3150.64
2023-05,앞다리,2456861.211
2023-05,양지,2966273.244
2023-05,우둔,866765.98
2023-05,채끝,9222.27
2023-06,갈비,5583883.33
2023-06,등심,1250374.04
2023-06,목심,1993135.12
2023-06,사태,266234.03
2023-06,설도,598616.53
2023-06,안심,95.5
2023-06,앞다리,1837309.39
2023-06,양지,1836233.75
2023-06,우둔,795928.8
2023-06,채끝,827.94
2023-07,갈비,6452770.86
2023-07,등심,948044.83
2023-07,목심,2302467.65
2023-07,사태,111444.23
2023-07,설도,531489.16
2023-07,안심,211.92
2023-07,앞다리,1550084.08
2023-07,양지,1252451.63
2023-07,우둔,297969.22
2023-07,채끝,1845.57
2023-08,갈비,6380371.835
2023-08,등심,1473067.43
2023-08,목심,2163098.15
2023-08,사태,127089.71
2023-08,설도,92465.12
2023-08,안심,99.1
2023-08,앞다리,1376420.81
2023-08,양지,1142377.19
2023-08,우둔,90592.46
2023-08,채끝,4891.02
2023-09,갈비,5579812.93
2023-09,등심,755535.62
2023-09,목심,1546991.63
2023-09,사태,96472.71
2023-09,설도,22707.9
2023-09,안심,0.0
2023-09,앞다리,517319.64
2023-09,양지,1705485.18
2023-09,우둔,23089.1
2023-09,채끝,0.0
2023-10,갈비,6203349.75
2023-10,등심,262067.15
2023-10,목심,1297126.79
2023-10,사태,213082.07
2023-10,설도,176.95
2023-10,안심,14303.78
2023-10,앞다리,373531.27
2023-10,양지,2225799.82
2023-10,우둔,23117.1
2023-10,채끝,1158.15
2023-11,갈비,6110865.4
2023-11,등심,174634.37
2023-11,목심,880180.29
2023-11,사태,103534.26
2023-11,설도,1104.35
2023-11,안심,256.32
2023-11,앞다리,865847.29
2023-11,양지,2475185.716
2023-11,우둔,1952.98
2023-11,채끝,1789.13
2023-12,갈비,6416033.603
2023-12,등심,239346.19
2023-12,목심,422605.99
2023-12,사태,131561.89
2023-12,설도,22928.71
2023-12,안심,866.56
2023-12,앞다리,714310.98
2023-12,양지,3755921.933
2023-12,우둔,0.0
2023-12,채끝,12438.07
2024-01,갈비,6604791.42
2024-01,등심,550964.2
2024-01,목심,853379.68
2024-01,사태,130086.1
2024-01,설도,44571.51
2024-01,안심,22744.95
2024-01,앞다리,925015.04
2024-01,양지,4556431.97
2024-01,우둔,4539.52
2024-01,채끝,1475.69
2024-02,갈비,5346614.386
2024-02,등심,307169.24
2024-02,목심,675599.88
2024-02,사태,127022.85
2024-02,설도,222661.99
2024-02,안심,1719.0
2024-02,앞다리,1155707.16
2024-02,양지,2686732.4
2024-02,우둔,10439.03
2024-02,채끝,5054.35
2024-03,갈비,7453736.7
2024-03,등심,204403.08
2024-03,목심,794694.55
2024-03,사태,218631.94
2024-03,설도,1836.26
2024-03,안심,1418.48
2024-03,앞다리,1439883.58
2024-03,양지,3531028.68
2024-03,우둔,38.9
2024-03,채끝,31235.51
2024-04,갈비,7079217.02
2024-04,등심,46509.33
2024-04,목심,1286995.33
2024-04,사태,52207.67
2024-04,설도,0.0
2024-04,안심,35504.99
2024-04,앞다리,1410694.33
2024-04,양지,3314226.13
2024-04,우둔,0.0
2024-04,채끝,2381.16
2024-05,갈비,6789410.66
2024-05,등심,431472.28
2024-05,목심,1207686.21
2024-05,사태,77924.43
2024-05,설도,61939.16
2024-05,안심,10084.15
2024-05,앞다리,1059768.59
2024-05,양지,3694571.4
2024-05,우둔,88021.2
2024-05,채끝,1201.39
2024-06,갈비,5964037.92
2024-06,등심,940075.77
2024-06,목심,1207750.05
2024-06,사태,129782.66
2024-06,설도,21886.27
2024-06,안심,15593.4
2024-06,앞다리,636385.68
2024-06,양지,2597914.74
2024-06,우둔,353439.95
2024-06,채끝,22072.5
2024-07,갈비,6382689.78
2024-07,등심,266183.22
2024-07,목심,1080756.97
2024-07,사태,96538.52
2024-07,설도,132902.84
2024-07,안심,18352.82
2024-07,앞다리,983309.02
2024-07,양지,2404552.58
2024-07,우둔,99118.42
2024-07,채끝,510.3
2024-08,갈비,7348467.76
2024-08,등심,136629.64
2024-08,목심,890046.75
2024-08,사태,12651.61
2024-08,설도,111120.47
2024-08,안심,394.1
2024-08,앞다리,487844.99
2024-08,양지,2028819.64
2024-08,우둔,24149.44
2024-08,채끝,2221.27
2024-09,갈비,4581461.54
2024-09,등심,376788.93
2024-09,목심,970143.69
2024-09,사태,117268.65
2024-09,설도,47506.31
2024-09,안심,22519.79
2024-09,앞다리,683625.95
2024-09,양지,1969514.71
2024-09,우둔,23897.1
2024-09,채끝,11405.33
2024-09,기타,7947.0
2024-10,갈비,7909384.08
2024-10,등심,276226.58
2024-10,목심,437362.01
2024-10,사태,118101.23
2024-10,설도,26215.73
2024-10,안심,1223.72
2024-10,앞다리,625012.94
2024-10,양지,4824179.18
2024-10,우둔,22572.98
2024-10,채끝,838.16
2024-10,기타,0.0
2024-11,갈비,7729534.225
2024-11,등심,386693.33
2024-11,목심,76442.03
2024-11,사태,50795.54
2024-11,설도,0.0
2024-11,안심,42500.5
2024-11,앞다리,885110.37
2024-11,양지,5288415.14
2024-11,우둔,0.0
2024-11,채끝,1602.33
2024-11,기타,0.0
