auction_start_ymd,auction_end_ymd,grade_type,grade_cd,grade_nm,breed_cd,breed_nm,sex_cd,sex_nm,qgrade_yn,defect_include_yn,market_code,market_name,is_regional_total,is_national_total,price_won_per_kg,head_count
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,Center,Center,False,False,17494,17545
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,City,수도권(권역),True,False,15966,24344
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,East,영남권(권역),True,False,16507,21018
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,Tot,전국(전체),False,True,16578,64948
20190101,20190130,QW,029049,평균,,전체,,전체,Y,Y,West,호남권(권역),True,False,16506,2021
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0202,부경축공,False,False,18988,1570
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0302,협신식품,False,False,19180,1471
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0320,도드람,False,False,19308,1750
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0323,농협부천,False,False,19002,2451
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0513,농협음성,False,False,19256,4572
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0613,관성,False,False,19192,318
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0714,익산,False,False,19540,40
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0809,농협나주,False,False,19034,383
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,0905,농협고령,False,False,18766,1779
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,1005,김해축공,False,False,19618,1274
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,1101,제주축협,False,False,19555,1
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,1201,신흥산업,False,False,18662,125
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,1301,삼성식품,False,False,18099,76
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,Center,Center,False,False,19253,4890
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,City,수도권(권역),True,False,19128,5748
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,East,영남권(권역),True,False,19045,4748
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,Tot,전국(전체),False,True,19141,15810
20190101,20190130,QW,1,1+,,전체,,전체,Y,Y,West,호남권(권역),True,False,19076,423
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0202,부경축공,False,False,17119,2165
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0302,협신식품,False,False,17383,1219
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0320,도드람,False,False,17658,2208
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0323,농협부천,False,False,17560,2053
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0513,농협음성,False,False,17620,4231
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0613,관성,False,False,17434,377
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0714,익산,False,False,17010,66
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0809,농협나주,False,False,17536,511
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,0905,농협고령,False,False,17263,1470
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,1005,김해축공,False,False,17846,2000
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,1101,제주축협,False,False,17854,7
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,1201,신흥산업,False,False,16258,139
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,1301,삼성식품,False,False,15415,159
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,Center,Center,False,False,17606,4608
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,City,수도권(권역),True,False,17495,5639
20190101,20190130,QW,2,1,,전체,,전체,Y,Y,East,영남권(권역),True,False,17373,5774
