date,short_desc,value,unit,reference_period
2021-05-01,"CATTLE, ON FEED - INVENTORY",11776000.0,HEAD,FIRST OF MAY
2021-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1914000.0,HEAD,MAY
2021-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1874000.0,HEAD,MAY
2021-06-01,"CATTLE, ON FEED - INVENTORY",11749000.0,HEAD,FIRST OF JUN
2021-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1680000.0,HEAD,JUN
2021-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2022000.0,HEAD,JUN
2021-07-01,"CATTLE, ON FEED - INVENTORY",13400000.0,HEAD,FIRST OF JUL
2021-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1735000.0,HEAD,JUL
2021-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1901000.0,HEAD,JUL
2021-08-01,"CATTLE, ON FEED - INVENTORY",11129000.0,HEAD,FIRST OF AUG
2021-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2104000.0,HEAD,AUG
2021-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1885000.0,HEAD,AUG
2021-09-01,"CATTLE, ON FEED - INVENTORY",11289000.0,HEAD,FIRST OF SEP
2021-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2165000.0,HEAD,SEP
2021-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1791000.0,HEAD,SEP
2021-10-01,"CATTLE, ON FEED - INVENTORY",11605000.0,HEAD,FIRST OF OCT
2021-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2244000.0,HEAD,OCT
2021-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1789000.0,HEAD,OCT
2021-11-01,"CATTLE, ON FEED - INVENTORY",12003000.0,HEAD,FIRST OF NOV
2021-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1970000.0,HEAD,NOV
2021-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1872000.0,HEAD,NOV
2021-12-01,"CATTLE, ON FEED - INVENTORY",12040000.0,HEAD,FIRST OF DEC
2021-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1961000.0,HEAD,DEC
2021-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1855000.0,HEAD,DEC
2022-01-01,"CATTLE, ON FEED - INVENTORY",14677800.0,HEAD,FIRST OF JAN
2022-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2004000.0,HEAD,JAN
2022-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1773000.0,HEAD,JAN
2022-02-01,"CATTLE, ON FEED - INVENTORY",12259000.0,HEAD,FIRST OF FEB
2022-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1868000.0,HEAD,FEB
2022-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1825000.0,HEAD,FEB
2022-03-01,"CATTLE, ON FEED - INVENTORY",12243000.0,HEAD,FIRST OF MAR
2022-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2005000.0,HEAD,MAR
2022-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2000000.0,HEAD,MAR
2022-04-01,"CATTLE, ON FEED - INVENTORY",12195000.0,HEAD,FIRST OF APR
2022-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1821000.0,HEAD,APR
2022-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1890000.0,HEAD,APR
2022-05-01,"CATTLE, ON FEED - INVENTORY",12072000.0,HEAD,FIRST OF MAY
2022-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1875000.0,HEAD,MAY
2022-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1920000.0,HEAD,MAY
2022-06-01,"CATTLE, ON FEED - INVENTORY",11951000.0,HEAD,FIRST OF JUN
2022-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1636000.0,HEAD,JUN
2022-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2063000.0,HEAD,JUN
2022-07-01,"CATTLE, ON FEED - INVENTORY",13400000.0,HEAD,FIRST OF JUL
2022-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1764000.0,HEAD,JUL
2022-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1824000.0,HEAD,JUL
2022-08-01,"CATTLE, ON FEED - INVENTORY",11339000.0,HEAD,FIRST OF AUG
2022-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2111000.0,HEAD,AUG
2022-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",2005000.0,HEAD,AUG
2022-09-01,"CATTLE, ON FEED - INVENTORY",11392000.0,HEAD,FIRST OF SEP
2022-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2082000.0,HEAD,SEP
2022-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1862000.0,HEAD,SEP
2022-10-01,"CATTLE, ON FEED - INVENTORY",11559000.0,HEAD,FIRST OF OCT
2022-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2084000.0,HEAD,OCT
2022-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1803000.0,HEAD,OCT
2022-11-01,"CATTLE, ON FEED - INVENTORY",11786000.0,HEAD,FIRST OF NOV
2022-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1901000.0,HEAD,NOV
2022-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1892000.0,HEAD,NOV
2022-12-01,"CATTLE, ON FEED - INVENTORY",11738000.0,HEAD,FIRST OF DEC
2022-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1784000.0,HEAD,DEC
2022-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1741000.0,HEAD,DEC
2023-01-01,"CATTLE, ON FEED - INVENTORY",14195800.0,HEAD,FIRST OF JAN
2023-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1936000.0,HEAD,JAN
2023-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1846000.0,HEAD,JAN
2023-02-01,"CATTLE, ON FEED - INVENTORY",11754000.0,HEAD,FIRST OF FEB
2023-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1723000.0,HEAD,FEB
2023-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1734000.0,HEAD,FEB
2023-03-01,"CATTLE, ON FEED - INVENTORY",11685000.0,HEAD,FIRST OF MAR
2023-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1992000.0,HEAD,MAR
2023-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1977000.0,HEAD,MAR
2023-04-01,"CATTLE, ON FEED - INVENTORY",11647000.0,HEAD,FIRST OF APR
2023-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1758000.0,HEAD,APR
2023-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1700000.0,HEAD,APR
2023-05-01,"CATTLE, ON FEED - INVENTORY",11654000.0,HEAD,FIRST OF MAY
2023-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1962000.0,HEAD,MAY
2023-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1952000.0,HEAD,MAY
2023-06-01,"CATTLE, ON FEED - INVENTORY",11590000.0,HEAD,FIRST OF JUN
2023-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1679000.0,HEAD,JUN
2023-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1957000.0,HEAD,JUN
2023-07-01,"CATTLE, ON FEED - INVENTORY",13100000.0,HEAD,FIRST OF JUL
2023-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1608000.0,HEAD,JUL
2023-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1722000.0,HEAD,JUL
2023-08-01,"CATTLE, ON FEED - INVENTORY",11064000.0,HEAD,FIRST OF AUG
2023-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2003000.0,HEAD,AUG
2023-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1885000.0,HEAD,AUG
2023-09-01,"CATTLE, ON FEED - INVENTORY",11127000.0,HEAD,FIRST OF SEP
2023-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2198000.0,HEAD,SEP
2023-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1664000.0,HEAD,SEP
2023-10-01,"CATTLE, ON FEED - INVENTORY",11604000.0,HEAD,FIRST OF OCT
2023-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2170000.0,HEAD,OCT
2023-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1763000.0,HEAD,OCT
2023-11-01,"CATTLE, ON FEED - INVENTORY",11956000.0,HEAD,FIRST OF NOV
2023-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1865000.0,HEAD,NOV
2023-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1751000.0,HEAD,NOV
2023-12-01,"CATTLE, ON FEED - INVENTORY",12016000.0,HEAD,FIRST OF DEC
2023-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1698000.0,HEAD,DEC
2023-12-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1724000.0,HEAD,DEC
2024-01-01,"CATTLE, ON FEED - INVENTORY",14426300.0,HEAD,FIRST OF JAN
2024-01-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1791000.0,HEAD,JAN
2024-01-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1843000.0,HEAD,JAN
2024-02-01,"CATTLE, ON FEED - INVENTORY",11797000.0,HEAD,FIRST OF FEB
2024-02-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1890000.0,HEAD,FEB
2024-02-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1793000.0,HEAD,FEB
2024-03-01,"CATTLE, ON FEED - INVENTORY",11838000.0,HEAD,FIRST OF MAR
2024-03-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1752000.0,HEAD,MAR
2024-03-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1707000.0,HEAD,MAR
2024-04-01,"CATTLE, ON FEED - INVENTORY",11826000.0,HEAD,FIRST OF APR
2024-04-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1656000.0,HEAD,APR
2024-04-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1872000.0,HEAD,APR
2024-05-01,"CATTLE, ON FEED - INVENTORY",11554000.0,HEAD,FIRST OF MAY
2024-05-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2046000.0,HEAD,MAY
2024-05-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1955000.0,HEAD,MAY
2024-06-01,"CATTLE, ON FEED - INVENTORY",11583000.0,HEAD,FIRST OF JUN
2024-06-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1564000.0,HEAD,JUN
2024-06-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1786000.0,HEAD,JUN
2024-07-01,"CATTLE, ON FEED - INVENTORY",11304000.0,HEAD,FIRST OF JUL
2024-07-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1702000.0,HEAD,JUL
2024-07-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1855000.0,HEAD,JUL
2024-08-01,"CATTLE, ON FEED - INVENTORY",11095000.0,HEAD,FIRST OF AUG
2024-08-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1976000.0,HEAD,AUG
2024-08-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1819000.0,HEAD,AUG
2024-09-01,"CATTLE, ON FEED - INVENTORY",11198000.0,HEAD,FIRST OF SEP
2024-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2156000.0,HEAD,SEP
2024-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1698000.0,HEAD,SEP
2024-10-01,"CATTLE, ON FEED - INVENTORY",11600000.0,HEAD,FIRST OF OCT
2024-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2266000.0,HEAD,OCT
2024-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1845000.0,HEAD,OCT
2024-11-01,"CATTLE, ON FEED - INVENTORY",11966000.0,HEAD,FIRST OF NOV
2024-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1796000.0,HEAD,NOV
2024-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1725000.0,HEAD,NOV
